uniprot_id,gene_name,subfamily
P35348,ADRA1A,Aminergic
P08913,ADRA2A,Aminergic
P08588,ADRB1,Aminergic
P11229,CHRM1,Aminergic
P08172,CHRM2,Aminergic
P20309,CHRM3,Aminergic
P08912,CHRM5,Aminergic
P21728,DRD1,Aminergic
P14416,DRD2,Aminergic
P35462,DRD3,Aminergic
P21917,DRD4,Aminergic
P21918,DRD5,Aminergic
P35367,HRH1,Aminergic
P25021,HRH2,Aminergic
Q9Y5N1,HRH3,Aminergic
Q9H3N8,HRH4,Aminergic
P08908,HTR1A,Aminergic
P28222,HTR1B,Aminergic
P28221,HTR1D,Aminergic
P30939,HTR1F,Aminergic
P28223,HTR2A,Aminergic
P41595,HTR2B,Aminergic
P28335,HTR2C,Aminergic
Q13639,HTR4,Aminergic
P47898,HTR5A,Aminergic
P50406,HTR6,Aminergic
P34969,HTR7,Aminergic
O14804,TAAR5,Aminergic
P25106,ACKR3,Class A
Q5T601,ADGRF1,Class A
P41597,CCR2,Class A
P51679,CCR4,Class A
P49238,CX3CR1,Class A
P61073,CXCR4,Class A
P23945,FSHR,Class A
Q99527,GPER1,Class A
Q13304,GPR17,Class A
Q9GZN0,GPR88,Class A
Q96LB1,MRGPRX2,Class A
P49286,MTNR1B,Class A
Q9H255,OR51E2,Class A
Q02643,GHRHR,Class B
P43220,GLP1R,Class B
Q9UBS5,GABBR1,Class C
Q14416,GRM2,Class C
Q14833,GRM4,Class C
O15303,GRM6,Class C
Q14831,GRM7,Class C
O00222,GRM8,Class C
Q9UP38,FZD1,Class F
Q14332,FZD2,Class F
O75084,FZD7,Class F
Q99835,SMO,Class F
Q9NYW7,TAS2R1,Class T2
Q9NYW0,TAS2R10,Class T2
Q9NYV9,TAS2R13,Class T2
Q9NYV8,TAS2R14,Class T2
Q9NYV7,TAS2R16,Class T2
P59542,TAS2R19,Class T2
P59543,TAS2R20,Class T2
Q9NYW6,TAS2R3,Class T2
P59541,TAS2R30,Class T2
P59538,TAS2R31,Class T2
P59533,TAS2R38,Class T2
P59534,TAS2R39,Class T2
Q9NYW5,TAS2R4,Class T2
P59535,TAS2R40,Class T2
P59536,TAS2R41,Class T2
Q7RTR8,TAS2R42,Class T2
P59537,TAS2R43,Class T2
P59539,TAS2R45,Class T2
P59540,TAS2R46,Class T2
Q9NYW4,TAS2R5,Class T2
P59544,TAS2R50,Class T2
P59551,TAS2R60,Class T2
Q9NYW3,TAS2R7,Class T2
Q9NYW2,TAS2R8,Class T2
Q9NYW1,TAS2R9,Class T2
P21554,CNR1,Lipid
Q5NUL3,FFAR4,Lipid
Q92633,LPAR1,Lipid
Q9UBY5,LPAR3,Lipid
P21453,S1PR1,Lipid
O95136,S1PR2,Lipid
P30542,ADORA1,Nucleotide
P29274,ADORA2A,Nucleotide
Q9H244,P2RY12,Nucleotide
P50052,AGTR2,Peptide
P37288,AVPR1A,Peptide
P30518,AVPR2,Peptide
P21730,C5AR1,Peptide
P32238,CCKAR,Peptide
P25116,F2R,Peptide
P25090,FPR2,Peptide
O43603,GALR2,Peptide
O60755,GALR3,Peptide
Q92847,GHSR,Peptide
P30550,GRPR,Peptide
O43614,HCRTR2,Peptide
Q01726,MC1R,Peptide
P48145,NPBWR1,Peptide
P25929,NPY1R,Peptide
Q15761,NPY5R,Peptide
P41145,OPRK1,Peptide
P41146,OPRL1,Peptide
P35372,OPRM1,Peptide
P30872,SSTR1,Peptide
P25103,TACR1,Peptide
P21452,TACR2,Peptide
